model,install,gpu_required,typical_training_seconds,size_limits,notes
Logistic-Regression,sklearn only,no,<1,scales linearly; no practical cap,Needs imputation and scaling; weakest classical baseline on nonlinear data.
Random-Forest,sklearn only,no,1-30,millions of rows ok with n_jobs=-1,Robust default; does not need scaling; needs imputation.
Gradient-Boosting,sklearn only,no,5-60,up to ~100k rows comfortably,Sensitive to hyperparameters; needs imputation.
XGBoost,pip install xgboost,optional,1-30,very large (millions of rows),Handles NaN natively; strong default for tabular tasks.
LightGBM,pip install lightgbm,optional,1-20,very large (millions of rows),Handles NaN natively; fastest among boosted trees here.
SVM,sklearn only,no,10-300,tens of thousands (O(n^2) kernel),Requires scaling and imputation; slow on large datasets.
MLP,sklearn only,no (torch-backed MLPs do),10-180,hundreds of thousands,Requires scaling and imputation; sensitive to architecture.
TabPFN,pip install tabpfn + TABPFN_TOKEN,recommended (CUDA),"1-60 per call (pretrained, no training)","up to ~10k rows, ~500 features per call",Consumes raw NaN; requires license token; best for small-to-medium tabular.
TabICL,pip install tabicl,recommended (CUDA),5-120 per call,similar to TabPFN; in-context learning,"Pretrained, handles NaN; verify availability in the target environment."
CatBoost,pip install catboost,optional,10-120,very large,Handles NaN and categorical features natively; robust default.
